id	slug	rule_name_zh	rule_name_en	description	tags	fofa_query
66	MyBatis	MyBatis	MyBatis	MyBatis是一个Java持久化框架，它通过XML描述符或注解把对象与存储过程或SQL语句关联起来，映射成数据库内对应的纪录。	log4j2,fofa	"app=""MyBatis"""
67	vmware-SpringBoot-Framework	vmware SpringBoot Framework	vmware SpringBoot Framework	Spring Boot是由Pivotal团队提供的全新框架，其设计目的是用来简化新Spring应用的初始搭建以及开发过程。	log4j2,fofa	"app=""vmware-SpringBoot-Framework"""
68	APACHE-Solr	APACHE-Solr	APACHE-Solr	Solr是Apache Lucene项目的开源企业搜索平台。	log4j2,unauth,fofa	"app=""APACHE-Solr"""
69	Map/Reduce	Map/Reduce	Map/Reduce	Apache Hadoop是一款支持数据密集型分布式应用程序并以Apache 2.0许可协议发布的开源软件框架。	log4j2,fofa	"app=""Map/Reduce"""
70	CLOUDERA-Hadoop-Hue	CLOUDERA Hadoop Hue	CLOUDERA Hadoop Hue	Apache Hadoop是一款支持数据密集型分布式应用程序并以Apache 2.0许可协议发布的开源软件框架。	log4j2,fofa	"app=""CLOUDERA-Hadoop-Hue"""
71	APACHE-hadoop-YARN	APACHE hadoop YARN	APACHE hadoop YARN	Apache Hadoop是一款支持数据密集型分布式应用程序并以Apache 2.0许可协议发布的开源软件框架。	log4j2,fofa	"app=""APACHE-hadoop-YARN"""
72	APACHE-hadoop-HttpFS	APACHE hadoop HttpFS	APACHE hadoop HttpFS	Apache Hadoop是一款支持数据密集型分布式应用程序并以Apache 2.0许可协议发布的开源软件框架。	log4j2,fofa	"app=""APACHE-hadoop-HttpFS"""
73	Oracle-E-Business-Suite	Oracle E Business-Suite	Oracle E Business-Suite	Oracle 电子商务套件支持当今不断发展的业务模型、提高生产力并满足现代移动用户的需求。	log4j2,fofa	"app=""Oracle-E-Business-Suite"""
74	splunk-日志分析	splunk 日志分析	splunk 日志分析	Splunk 是用于机器生成数据、非结构化/结构化和复杂多行数据的集中日志分析工具。	log4j2,fofa	"app=""splunk-日志分析"""
75	vmware-vCenter	vmware vCenter	vmware vCenter	VMware vCenter Server 提供了一个可伸缩、可扩展的平台，为虚拟化管理奠定了基础。	log4j2,fofa	"app=""vmware-vCenter"""
76	APACHE-Storm	APACHE Storm	APACHE Storm	Storm 是一个分布式实时大数据处理系统，可以帮助我们方便地处理海量数据，具有高可靠、高容错、高扩展的特点。	log4j2,fofa	"app=""APACHE-Storm"""
77	用友-NC-Cloud	用友 NC Cloud	用友 NC Cloud	NC Cloud，帮助企业打造数字化商业创新平台，实现业务创新、管理变革、金融嵌入的全面数字化。	log4j2,fofa	"app=""用友-NC-Cloud"""
78	APACHE-Druid	APACHE Druid	APACHE Druid	Druid是用Java编写的面向列的，开放源代码的分布式数据存储。	log4j2,fofa	"app=""APACHE-Druid"""
79	vmware-Spring-Framework	vmware Spring-Framework	vmware Spring-Framework	Spring使Java编程对每个人都更快、更容易、更安全。	log4j2,fofa	"app=""vmware-Spring-Framework"""
80	JavaMelody	JavaMelody	JavaMelody	JavaMelody 的目标是在 QA 和生产环境中监控 Java 或 Java EE 应用程序。	log4j2,fofa	"app=""JavaMelody"""
81	openNMS-产品	openNMS 产品	openNMS 产品	OpenNMS是一个免费的开源企业级网络监视和网络管理平台。	log4j2,fofa	"app=""openNMS-产品"""
82	APACHE-Unomi	APACHE Unomi	APACHE Unomi	Apache Unomi是一个 Java 开源客户数据平台，是一个 Java 服务器。	log4j2,fofa	"app=""APACHE-Unomi"""
83	ECLIPSE-jetty	ECLIPSE jetty	ECLIPSE jetty	Jetty是一个纯粹的基于Java的网页服务器和Java Servlet容器。	log4j2,fofa	"app=""ECLIPSE-jetty"""
84	elastic-Elasticsearch	elastic Elasticsearch	elastic Elasticsearch	Elasticsearch是一个基于Lucene库的搜索引擎。	log4j2,fofa,unauth	"app=""elastic-Elasticsearch"""
85	RedHat-Jboss	RedHat Jboss	RedHat Jboss	一种开源的Java EE 8 兼容应用服务器，让您只需构建Java 应用一次便可部署到所有位置。	log4j2,fofa	"app=""RedHat-Jboss"""
86	Openfire	Openfire	Openfire	Openfire 是根据开源 Apache 许可证获得许可的实时协作 (RTC) 服务器。	log4j2,fofa	"app=""Openfire"""
87	Oracle-BEA-WebLogic-Server	Oracle BEA WebLogic Server	Oracle BEA WebLogic Server	BEA WebLogic Server是一个可扩展的, Java Two Enterprise Edition (J2EE) 应用服务器。	log4j2,fofa	"app=""Oracle-BEA-WebLogic-Server"""
88	Oracle-Weblogic_interface_7001	Oracle Weblogic interface 7001	Oracle Weblogic interface 7001	WebLogic是美商Oracle的主要产品之一，系购并得来。是商业市场上主要的Java应用服务器软件之一，是世界上第一个成功商业化的J2EE应用服务器。	log4j2,fofa	"app=""Oracle-Weblogic_interface_7001"""
89	Oracle-BI-Publisher-Enterprise	Oracle BI-Publisher Enterprise	Oracle BI Publisher Enterprise	Oracle XML Publisher是Oracle Corporation的最新报告技术	log4j2,fofa	"app=""Oracle-BI-Publisher-Enterprise"""
90	vmware-vSphere-Web-Client	vmware vSphere Web-Client	vmware vSphere Web-Client	vSphere Web Client是为忙碌的管理员提供的一款通用的、基于浏览器的VMware管理工具，能够监控并管理VMware基础设施。	log4j2,fofa	"app=""vmware-vSphere-Web-Client"""
91	RedHat-JBoss-AS	RedHat JBoss AS	RedHat JBoss AS	一种开源的Java EE 8 兼容应用服务器，让您只需构建Java 应用一次便可部署到所有位置。	log4j2,fofa	"app=""RedHat-JBoss-AS"""
92	用友-ism	用友 ism	yongyou ism	iSM智能服务管理器。	log4j2,fofa	"app=""用友-ism"""
93	amazon-cloudfront	CloudFront	CloudFront	CloudFront。	log4j2,fofa	"app=""amazon-CloudFront"""
94	vmware-horizon	vmware Horizon	vmware Horizon	vmware Horizon	log4j2,fofa	"app=""vmware-Horizon"""
95	reactive-mongo	Reactive Mongo	Reactive Mongo	Reactive Mongo	log4j2,fofa	"app=""Reactive_Mongo"""
96	vmware-unified-access-gateway	vmware Unified Access Gateway	vmware Unified Access Gateway	vmware Unified Access Gateway	log4j2,fofa	"app=""vmware-Unified-Access-Gateway"""
97	FORESCOUT-Administration	FORESCOUT Administration	FORESCOUT Administration	FORESCOUT Administration	log4j2,fofa	"app=""FORESCOUT-Administration"""
98	vmware-Tanzu-Observability	vmware Tanzu Observability	vmware Tanzu Observability	vmware Tanzu Observability	log4j2,fofa	"app=""vmware-Tanzu-Observability"""
99	druid-server	druid server	druid server	druid server	log4j2,fofa	"app=""druid-server"""
100	amazon CodePipeline	amazon CodePipeline	amazon CodePipeline	amazon CodePipeline	log4j2,fofa	"app=""amazon-CodePipeline"""
101	CISCO-CloudCenter-Suite	CISCO CloudCenter Suite	CISCO CloudCenter Suite	CISCO CloudCenter Suite	log4j2,fofa	"app=""CISCO-CloudCenter-Suite"""
102	vmware-Site-Recovery-Manager	vmware Site Recovery Manager	vmware Site Recovery Manager	vmware Site Recovery Manager	log4j2,fofa	"app=""vmware-Site-Recovery-Manager"""
103	vmware-Spring-Batch	vmware Spring Batch	vmware Spring Batch	vmware Spring Batch	log4j2,fofa	"app=""vmware-Spring-Batch"""
104	BROADCOM-Advanced-Threat-Protection	BROADCOM Advanced Threat Protection	BROADCOM Advanced Threat Protection	BROADCOM Advanced Threat Protection	log4j2,fofa	"app=""BROADCOM-Advanced-Threat-Protection"""
105	amazon-greengrass	amazon greengrass	amazon greengrass	amazon greengrass	log4j2,fofa	"app=""amazon-greengrass"""
106	vmware-Horizon-DaaS	vmware Horizon DaaS	vmware Horizon DaaS	vmware Horizon DaaS	log4j2,fofa	"app=""vmware-Horizon-DaaS"""
107	Apache-Log4j-Web	Apache Log4j Web	Apache Log4j Web	Apache Log4j Web	log4j2,fofa	"app=""Apache-Log4j-Web"""
108	APACHE-JMeter	APACHE JMeter	APACHE JMeter	APACHE JMeter	log4j2,fofa	"app=""APACHE-JMeter"""
109	JSPWiki	JSPWiki	JSPWiki	JSPWiki	log4j2,jsqj	"body=""JSPWiki"""
110	Apache-James	Apache James	Apache James	Apache James	log4j2,jsqj	"port=""25"" && ""James"""
111	Mobilelron	Mobilelron	Mobilelron	Mobilelron	log4j2,jsqj	"body=""/mifs"""
112	UniFi	UniFi	UniFi	UniFi	log4j2,jsqj	"title==""UniFi""||app=""UniFi-Network""||app=""UNIFI-unifi-摄像头"""
113	Struts2-more	Struts2 more	Struts2 more	Struts2 more	log4j2,jsqj	"header=""If-Modified-Since"""
114	projector	projector	projector	Jetbrains projector	projector,unauth	"body=""projector-client-web"""
115	jupyter-lab-unauth	Jupyter Lab unauth	Jupyter Lab unauth	Jupyter-Lab-unauth	jupyter-lab,unauth	"body=""jupyter-config-data"" && title=""JupyterLab"""
116	shiro	shiro	shiro	Apache-Shiro	shiro	"header=""rememberMe="" || header=""=deleteMe"" || header=""shiro-cas"" || body=""</i> shiro</li>"""
