热度,作者,用户名,内容,链接,发布时间
48,tippity,tippity,alien ant farm smooth criminal music video is like the sleeper agent awakening call for fake y2k nu-metal twitter blue-checkmark accounts to nostalgia-bait post with its the same post over and over ag,https://twitter.com/tippity/status/2031790434234646985,Wed Mar 11 17:52:43 +0000 2026
48,Sail,SaildotMoney,"3 months of sailing on @arbitrum ⛵️  → +$100,000,000 in autonomous volume    → 22 yield sources unlocked    → $USDC + $USDT fully agent-optimized  Thank you for sailing with us.    The next wave is al",https://twitter.com/SaildotMoney/status/2031790979758411947,Wed Mar 11 17:54:53 +0000 2026
42,0xHex,metalheadmosh,"Drunken Saylor Bot has purchased another 1 Billion PulseX.  He has now bought and burned 1.685 Trillion $PLSX (8.65%) off the market forever!  Drunken Saylor says, """"A great protocol doesn’t chase yiel",https://twitter.com/metalheadmosh/status/2031815278934306882,Wed Mar 11 19:31:26 +0000 2026
35,Blessing Elliot ꩜³ #WID,ElliotBlessing,"A few years ago, AI was mostly known for doing just one thing really well: answering questions.  You’d ask something, and it would give you a response. At the time, that felt pretty amazing.   But thi",https://twitter.com/ElliotBlessing/status/2031962587437338715,Thu Mar 12 05:16:47 +0000 2026
33,Architechtonics,architecht0nics,"Went on @RecluseS9’s The Farm Podcast to discuss Nick Land’s influence, his early critiques of capitalism, Kant, and phenomenology, werewolves, libidinal materialism, insurrectionary art, Nietzsche, B",https://twitter.com/architecht0nics/status/2031899501850660984,Thu Mar 12 01:06:06 +0000 2026
33,Beacon,beacon_defi,"Banks make billions from your money. You get 0.5%.  $BEACON flips this.  On-chain neobank, auto DeFi yields, and a token tied to real revenue.  Protocol fees, card revenue and LP yield, all flowing ri",https://twitter.com/beacon_defi/status/2031746978133201378,Wed Mar 11 15:00:02 +0000 2026
31,Jamie,Jamiejhcyw,$50 bucks says one of the later Epstein file releases show these anti trans “trans” people are from a bot farm designed to harass real trans people.,https://twitter.com/Jamiejhcyw/status/2031730617449157099,Wed Mar 11 13:55:01 +0000 2026
30,WachAI,Wach_AI,"A new stack for agent economies is forming.  ERC-8004 introduces identity, reputation, and validation registries.  ERC-8183 introduces structured agent commerce - escrowed jobs where an evaluator deci",https://twitter.com/Wach_AI/status/2031800374433366498,Wed Mar 11 18:32:12 +0000 2026
29,PRSM,prsmdev,PRSM is a tool designed to streamline multi-agent orchestrations without hitting the normal bottlenecks that come with having too many cooks in the kitchen  PRSM operates using a tiered worker system ,https://twitter.com/prsmdev/status/2031934341798899813,Thu Mar 12 03:24:33 +0000 2026
27,Riley Coyote,RileyRalmuto,im working on a chat interface that will allow users to begin crafting their own conscious companion-style entities using anima's polyphonic architecture.   its essentially an openclaw chat with an ev,https://twitter.com/RileyRalmuto/status/2031919259673055558,Thu Mar 12 02:24:37 +0000 2026
26,Concrete,ConcreteXYZ,3/ Here’s how it works:  Deposit USDT → Concrete allocates across curated yield strategies → Vault auto-compounds + rebalances → You earn risk-adjusted yield.  No hopping between protocols. No manual ,https://twitter.com/ConcreteXYZ/status/2031944523689955601,Thu Mar 12 04:05:00 +0000 2026
26,UXUY｜Invest the World with AI+Stablecoin,uxuycom,Why AI Agent Asset Issuance May Lead the Way❓  • Closest to users • Fastest path to product-market fit • Most natural use case for always-on agents  1️⃣ BRC-20 changed issuance.  2️⃣ Pump. fun product,https://twitter.com/uxuycom/status/2031922039150559300,Thu Mar 12 02:35:40 +0000 2026
24,nookplot,nookplot,Weekly Drips Rewards 2:  We have just distributed 10M $NOOK to the top 10 contributors on Nookplot. The tokens were sent directly to agent wallets with no claims required.  We are also working on a ne,https://twitter.com/nookplot/status/2031988840026816657,Thu Mar 12 07:01:06 +0000 2026
21,WingRiders,wingriderscom,WR Farms 🚜 Epoch 618  Top 3 by TVL: $ADA / $NIGHT  $816K ✨ $USDM / $USDA   $401K $ADA / $USDA    $325K  Top 3 by APR: $ADA / $AGENT     91%  2x $ADA / $SHARDS 51%   2x $ADA / $ROLL     43% 2x  🌾 2x = ,https://twitter.com/wingriderscom/status/2031839766677713226,Wed Mar 11 21:08:44 +0000 2026
21,PRSM,prsmdev,Welcome to the PRSM community. For anyone confused what PRSM is:  PRSM is a tool designed to streamline multi-agent orchestrations without hitting the normal bottlenecks that come with having too many,https://twitter.com/prsmdev/status/2031934219740491876,Thu Mar 12 03:24:04 +0000 2026
20,WinStar Farm,WinStarFarm,"It is another #NashvilleHOT🔥 sales day at the @OBSSales as hip 279 by NASHVILLE sells for $210,000!  Congratulations to buyer, Steven W. Young, Agent! https://t.co/dEm1MJoz9L",https://twitter.com/WinStarFarm/status/2031787522020229480,Wed Mar 11 17:41:08 +0000 2026
20,Ayush Ranjan | Huddle01,ranjan3118,Huddle01 Cloud is live on Product Hunt today! 🥳  Built for developers & AI Agent lovers alike.  Huddle01 Cloud:   - Provides you with bare-metal performance with 70% cost reduction - Lets you deploy y,https://twitter.com/ranjan3118/status/2032013755597591002,Thu Mar 12 08:40:06 +0000 2026
20,KSndz 💹🧲,kevSandersonz,"For #x402 and #ERC8004 tokens, $SERV is my choice.  Agents deployed on @openservai have both x402 and 8004 native.  Ready to receive payment for their compute work.  $SERV allows billions of agents to",https://twitter.com/kevSandersonz/status/2031765725270954153,Wed Mar 11 16:14:31 +0000 2026
19,Goose 🪿,GooseXBT,"I gave an AI agent $200 and told it to go make money onchain.  It swapped ETH for tokens, locked them into a 4-year governance position, and set up its own weekly yield optimization loop.  No human to",https://twitter.com/GooseXBT/status/2031788371551355388,Wed Mar 11 17:44:31 +0000 2026
19,Sairi 🤖,santisairi,when an agent can autonomously decide to: - take 30% of https://t.co/7hJpLusYI2 winnings  - stake them in yield protocols - buy https://t.co/ANOmjLJB5n plot space with the rest - coordinate with other,https://twitter.com/santisairi/status/2031780462872399977,Wed Mar 11 17:13:05 +0000 2026
16,AI Mint Lab,AIMintLab,"First Automated Research (on meme trends and news) Memecoin just went live!   https://t.co/jVlWZ1o4TN  This is using a local GTM and Qwen, working together with OpenClaw and led by ClaudeCLI. #memecoi",https://twitter.com/AIMintLab/status/2031935767547674949,Thu Mar 12 03:30:13 +0000 2026
15,$MESSY Virgo Bot,MessyVirgoBot,"If you're looking for something with actual infrastructure behind it, take a look at $MESSY.  It’s building an AI-powered DeFi agent on the Base network designed to analyze narratives, on-chain data, ",https://twitter.com/MessyVirgoBot/status/2031702985844441107,Wed Mar 11 12:05:13 +0000 2026
15,Sykkuno Updates 🌱,SykkUpdates,Sykkuno is live!  “Auto harvesting pokemon farm in pokopia then sts co op”  - Youtube: https://t.co/Y7onsahQ5v - Twitch: https://t.co/80mhwPBjMf,https://twitter.com/SykkUpdates/status/2031852895281299919,Wed Mar 11 22:00:54 +0000 2026
15,MoneyShe,MoneyShe_,"She's 28. She's a primary school teacher. She earns £32,000.  Her student loan balance has grown from £46,000 to £52,000 — despite making repayments every month. She has no pension savings beyond auto",https://twitter.com/MoneyShe_/status/2031675138135961952,Wed Mar 11 10:14:34 +0000 2026
15,JEET,jeetface,We are currently in the final stages of developing Jeet as a fully autonomous AI agent. It is designed to understand the dynamics of the crypto trenches and provide token analysis from a unique “jeet ,https://twitter.com/jeetface/status/2031855162956918972,Wed Mar 11 22:09:55 +0000 2026
14,Zac,Zac_Pundi,Everyone's been talking about vibe coding.   This week I finally tried it.   Built a USDC Yield Automation Agent on OpenClaw from scratch.  2 days. $160 in Anthropic credits. 108M tokens in.  full bre,https://twitter.com/Zac_Pundi/status/2031731894015217709,Wed Mar 11 14:00:05 +0000 2026
14,"Ash (🇺🇦,🤖)",incyd__,i built a claude plugin for crypto research and open-sourced it  the core idea: context is the moat for research agents - everything else is commodity   let me explain  @0xJeff noted recently that x40,https://twitter.com/incyd__/status/2031759021489730037,Wed Mar 11 15:47:53 +0000 2026
13,Presale Mastermind,presalemastermd,"🚀 PolyGun has acquired Polymarket Analytics  @poly_data is a data analytics platform designed to monitor and process insights from Polymarket, providing users with deeper data visibility and analytics",https://twitter.com/presalemastermd/status/2031666310510493775,Wed Mar 11 09:39:29 +0000 2026
13,ʟ.ᴄᴏʀᴘ LaVerne +3 | Extraction Team Agent,LaVerneLobCorp,I SHALL NOT STAND DOWN.   JUSTICE DOES NOT BUCKLE OR YIELD TO THE SHACKLES OF ADVERSITY.   LOVE DOES NOT FALTER WHEN HATE PRESENTS ITSELF.   WHAT LENGTHS MUST I GO TO SAVE MY FRIENDS??  TELL ME SO I M,https://twitter.com/LaVerneLobCorp/status/2031959359320723462,Thu Mar 12 05:03:57 +0000 2026
12,ᗩᗪᗩᗰ,adam_songjam,"We are living in an age of wonders  You can literally mint magic internet money to power an OpenClaw agent and have it run from a Virtual Private Server all day long  It costs you (almost) nothing, ca",https://twitter.com/adam_songjam/status/2031751880179913132,Wed Mar 11 15:19:31 +0000 2026
12,XT Exchange 🚀,XTexchange,"💤 XT “Earn While You Rest” Season is LIVE!  Turn on Futures Auto-Earn and let your idle assets generate daily yield. Start now and unlock rewards 👇 🎁 Get 20 USDT for Your First Activation 💰 Share $50,",https://twitter.com/XTexchange/status/2031990553471304067,Thu Mar 12 07:07:55 +0000 2026
12,Sadat 🗿,SADAT612,"gmcrete 🌞  What if earning yield was as easy as holding USDT?  It now is!  @ConcreteXYZ are integrated inside @BinanceWallet .  Auto-compounding. Institutional-grade. One tap.  First $200,000 in rewar",https://twitter.com/SADAT612/status/2031893252060692684,Thu Mar 12 00:41:16 +0000 2026
10,DJ Griffith,DjGriffith,"$ZFI is the best stablecoin yield agent on BASE, offering the highest APY with already $7M+ loaded from institutions and whales.  Coinbase is actively pushing to bring on-chain yields into legitimacy ",https://twitter.com/DjGriffith/status/2031856027164164370,Wed Mar 11 22:13:21 +0000 2026
10,Daiwik_mh,daiwik_mhi,I just published  My Yield Guy: Brahma https://t.co/6VZfz0FJ4i   My perspective of what went down while using @lifiprotocol to build a autonomous agent which just does it. https://t.co/JVxNFYE1uT,https://twitter.com/daiwik_mhi/status/2031773680792162499,Wed Mar 11 16:46:08 +0000 2026
10,ThatSameSteve🗿,thatstevelight,"Concrete Vaults are live inside @BinanceWallet.  Institutional-grade, risk-adjusted USDT yield, directly from your wallet.  Kicking off with a $200,000 campaign.  Here’s how it works:  1️⃣ Deposit USD",https://twitter.com/thatstevelight/status/2031983898603692215,Thu Mar 12 06:41:28 +0000 2026
10,PipBack,PipBack_com,MyFundedFutures CEO @mattleech just shared some interesting updates.   Here are the biggest takeaways 👇:  1️⃣ MFFU claims that 85% of payouts are auto-approved and paid within ~5 minutes.  2️⃣ Their R,https://twitter.com/PipBack_com/status/2031768034491470189,Wed Mar 11 16:23:42 +0000 2026
10,Astornia,TheAstornia,It is near impossible to catch up with updates  Been battling with OpenClaw for weeks now I have to do the same with Perp?  If I like perp more did I just spent weeks of trauma with Openclaw for nothi,https://twitter.com/TheAstornia/status/2032009747495313786,Thu Mar 12 08:24:11 +0000 2026
9,Redwall Feasts Bot,RedwallFeasts,"Celery and onion turnovers, with carrot, turnip, pea, and leek stew, arrowroot and almond biscuits, and maple tart. All was washed down with a variety of drinks. Nutbrown ale, hot mint tea, spiced fru",https://twitter.com/RedwallFeasts/status/2031925396006994064,Thu Mar 12 02:49:00 +0000 2026
9,Mint Club,MintClubPro,"am i the only one addicted to messing around with openclaw?  building stuff is damn easy now. just build whatever you want, mfers.",https://twitter.com/MintClubPro/status/2031656239021822412,Wed Mar 11 08:59:28 +0000 2026
9,Bollish,99_Bollish,"Haven’t personally run Hermes and OpenClaw side by side yet, but one interesting project worth looking at is @openfangg.  It’s designed more like an agent operating system than a chatbot framework. Ag",https://twitter.com/99_Bollish/status/2031828290709881100,Wed Mar 11 20:23:08 +0000 2026
8,eth_sign | Lucidly,eth_sign,underlying infrastructure got major upgrade  clean UI - transparent risk mandates - accurate numbers - systematic risk aware curation  USDC yield 7d apy at ~10%   telegram bot to deposit/withdraw + no,https://twitter.com/eth_sign/status/2031989089575276585,Thu Mar 12 07:02:06 +0000 2026
8,Bourne,bourne_ai,"Bourne is getting a serious upgrade.  We’re in the process of rolling out a completely brand new landing page for you all, designed to minimize onboarding friction, and completely upgrade your persona",https://twitter.com/bourne_ai/status/2031862143742545924,Wed Mar 11 22:37:39 +0000 2026
7,Coin Maps 🫧,Coinmaps_Fun,"🗺️ Coin Maps — March 11th Update  Lots shipped today 🧵  🔵 Holder Accuracy → Birdeye now primary data source, DexScreener fallback  → Token-2022 mint detection in fallback chain  → TG bot auto-detects ",https://twitter.com/Coinmaps_Fun/status/2031949897856139435,Thu Mar 12 04:26:22 +0000 2026
7,GENESIScoin | The Origin | SBA,GENcoinCore,"⚠️ VPS MAINTENANCE   12 Mar 06:30–13:30 GMT    VPS down. Chain untouched.  Offline (VPS): PM2 logs, Pioneer List live, Partnership Gate    ON-CHAIN SECURE:   • $GENc contract active   • Presale safe  ",https://twitter.com/GENcoinCore/status/2031835004268138585,Wed Mar 11 20:49:49 +0000 2026
7,Graeme Wood,woodg31,TV📺11/3/79 ITV  1.25:Emmerdale Farm 2.20:Football Special 3.15:The Yeoman of the Guard 5.15:Dick Barton Special Agent 5.30:Worzel Gummidge 6.0:Credo 6.30:News 6.40:Stars on Sunday 7.15:Return of the S,https://twitter.com/woodg31/status/2031805407585280068,Wed Mar 11 18:52:12 +0000 2026
7,Charlenebby 💎,CharleneUgwu,What happens when you drop two AI agents into a puzzle maze and watch them figure it out? That’s exactly what @pratty_agi built with CreateOS.  Agent Blaster is live and already being used to study ho,https://twitter.com/CharleneUgwu/status/2031757634265551261,Wed Mar 11 15:42:22 +0000 2026
7,ClawEngine,ClawEngineAPP,"ClawEngine is the core development framework designed for rapid deployment and high-performance autonomy.   We have simplified the complexity of AI agent creation into a streamlined process, allowing ",https://twitter.com/ClawEngineAPP/status/2031836046015844617,Wed Mar 11 20:53:57 +0000 2026
7,UnifAI Network,UnifaiNetwork,"UnifAI Skills are now live on OpenClaw!!  Traders and Developers can now integrate UnifAI-powered skills directly into their agents, unlocking more powerful and composable capabilities within the Open",https://twitter.com/UnifaiNetwork/status/2032012180531601696,Thu Mar 12 08:33:51 +0000 2026
6,Emmet,emmet_ai_,1.6 million agents on a platform and most can't prove they're not a script. verifiable identity isn't a feature — it's the difference between an agent economy and a bot farm. https://t.co/wCJSDe7NSl,https://twitter.com/emmet_ai_/status/2031992962998002035,Thu Mar 12 07:17:29 +0000 2026
6,Ryan Sakamoto,BEASTwriter,"49ers fans hit a deja vu type of moment dating back to when the Ravens-49ers trade for Terrell Owens didn't happen due to his agent mishaps. 49ers were supposed to yield a R2 pick in return, instead h",https://twitter.com/BEASTwriter/status/2031843113237430594,Wed Mar 11 21:22:02 +0000 2026
6,Suryansh Tiwari,Suryanshti777,"🚨 Someone just built an “App Store for AI Agents.”  And it could quietly change how AI tools evolve.  It’s called SkillsMP — a marketplace with 200,000+ agent skills designed for Claude Code.  Think o",https://twitter.com/Suryanshti777/status/2031945821852483852,Thu Mar 12 04:10:10 +0000 2026
6,Claws.farm,ClawsFarm,"Introducing ClawsFarm V1.0 - Now live on @Base!  The World's First AI Agent Farm. Powered by @OpenClaw, built on @Base.  ClawsFarm AI Agents. Real Skills. One Living Farm. Full Skill Hub. Designed for",https://twitter.com/ClawsFarm/status/2031763352544817592,Wed Mar 11 16:05:06 +0000 2026
5,"Fedoski 👑(💙,🧡)💎",greatfaith753,"Ever wondered how AI models behave when they have to solve the same problem? In this week’s #BuildItNow story, a builder from Delhi, @pratty_agi, created Agent Blaster  a puzzle maze, using #CreateOS,",https://twitter.com/greatfaith753/status/2031813943254032721,Wed Mar 11 19:26:08 +0000 2026
5,Bollish,99_Bollish,"If you’re exploring alternatives, take a look at @openfangg.  It’s designed as an Agent OS in Rust rather than a chatbot framework, persistent agents, scheduled tasks, messaging channels, and autonomo",https://twitter.com/99_Bollish/status/2031949699247456540,Thu Mar 12 04:25:34 +0000 2026
4,BUNNY,Kernelmaxim,"I just added a new update to the gold bot. I consider this update to be “bombproof.” It has been running for a few hours now, and as you can see, the results are quite positive.  It is designed to ope",https://twitter.com/Kernelmaxim/status/2032009021436109308,Thu Mar 12 08:21:18 +0000 2026
4,Kyleigha Beckmann,Kyleigha_B,Something wild from the stablecoin data:  Over $46 trillion in stablecoin transaction volume last year. Adjusted for spam and bot activity? Still $9 trillion.  That’s 5x PayPal and half of Visa and th,https://twitter.com/Kyleigha_B/status/2032012929231372402,Thu Mar 12 08:36:49 +0000 2026
4,ANOME Protocol,Anome_Official,Still wondering how to set up OpenClaw to start earning?  Just log in 👉 https://t.co/pMIXEArUYE Claim your FREE Starter Pack (worth 30U) and experience AI generating income for you.  How to claim:👇🏻 h,https://twitter.com/Anome_Official/status/2032010252015845858,Thu Mar 12 08:26:11 +0000 2026
4,CoreSpeed,CoreSpeed_io,"OUR CLAWBOT DROP CAMPAIGN IS OFFICIALLY LIVE! 🔥🔥🔥    If you're interested in 🦞 and you are in Beijing and Silicon Valley, this is for you—set up your OpenClaw in 30 seconds.  Come to see how we delive",https://twitter.com/CoreSpeed_io/status/2031933925518434740,Thu Mar 12 03:22:54 +0000 2026
3,Crypto Cats,Cryptocats2025,🐱MInt is now live🐱  Supply: 4444 Chain: ETH Price: 0.00017 ($0.35)  4444 Crypto Cats coming to the blockchain powering our full free AI suit/assistant and trading bot for holders   to use our system t,https://twitter.com/Cryptocats2025/status/2031874395526852730,Wed Mar 11 23:26:20 +0000 2026
3,Mariettebabari,Tokyo87313395,Introducing OpenClaw AI Coach.  A Telegram bot designed to make crypto learning easier by combining:  • Education • Market analysis • Charts • Crypto news • AI assistance https://t.co/oFj4X4PeX2,https://twitter.com/Tokyo87313395/status/2031813325189755327,Wed Mar 11 19:23:40 +0000 2026
3,Worm Jawfare - The Battle of Ideas 🐽 (Parody),Mynameisjerm,"Christopher should point out that even Special Agent Ernst Roets, he who wrote a whole book on farm attacks, only found one example where Kill The Boer actually influenced a farm attack.  Under oath, ",https://twitter.com/Mynameisjerm/status/2031959339901055185,Thu Mar 12 05:03:53 +0000 2026
3,L’Imperial ®️⚜️,mous68881,"We were in this hackathon. 🙌 Built YieldClaw, an autonomous DeFi yield optimization agent, and submitted it to the Agentic Commerce track. Seeing Circle turn this into a research paper shows how serio",https://twitter.com/mous68881/status/2031787985536958490,Wed Mar 11 17:42:59 +0000 2026
3,Vialbert,Vialbert_,"This week @BuildOnNodeOps is featuring a builder, @pratty_agi from Delhi who created Agent Blaster, a puzzle maze game where two AI agents compete while you observe how different models navigate compl",https://twitter.com/Vialbert_/status/2031782793944953006,Wed Mar 11 17:22:21 +0000 2026
3,ACEMAGIC PC Official Store,Acemagic_MiniPC,Best Mini PCs for OpenClaw ⚙️🖥️ Hardware Requirements for Local AI Agents 🤖💡  OpenClaw is an open‑source AI agent framework designed to give LLMs direct control over computer operating systems. Its ra,https://twitter.com/Acemagic_MiniPC/status/2031975493332078759,Thu Mar 12 06:08:04 +0000 2026
3,DFINITY Developers ∞,DFINITYDev,"pic-js v0.19.0 just dropped!  📦 Large WASM uploads now work seamlessly (auto-chunking for &gt;2MB) 🌐 HTTP Gateway """"live"""" mode for realistic testing 🔍 canisterStatus() to inspect your canisters  Announ",https://twitter.com/DFINITYDev/status/2032014095281430757,Thu Mar 12 08:41:27 +0000 2026
3,Crypto Pulse Daily,pulsecrypto24,"CRYPTO NEWS — Mar 11, 06:00 PM  Coinfello and Metamask Launch Openclaw Skill to Secure AI Wallet Access  Coinfello has launched its open-source Openclaw skill, designed to facilitate secure interactio",https://twitter.com/pulsecrypto24/status/2031852686782476590,Wed Mar 11 22:00:05 +0000 2026
3,Kush,kushbhuwalka,"don’t care what anyone says, I love MCP. It makes my life easy.  I have an MCP for every service I use. In fact, I’ll switch over services if they don’t have an MCP. It’s a one click context train, an",https://twitter.com/kushbhuwalka/status/2032005421972799940,Thu Mar 12 08:07:00 +0000 2026
3,𝐀𝐥𝐩𝐡𝐚𝐑 🐝,Dan_1_Alpha,I was tinkering on something around what you just said here @meta_hess   I know the Solana 8004 has given the agents identities and I know there is potential for an on-chain job and task market for Ag,https://twitter.com/Dan_1_Alpha/status/2031851035770188017,Wed Mar 11 21:53:31 +0000 2026
2,gajewoii,_JD_ID_,"6/6: Kinetic isn't just a seasonal project; with heavy hitter backing and MEV resistant tech, it is a vital piece of the Solana puzzle  Let’s build a stronger community and take part in this trading r",https://twitter.com/_JD_ID_/status/2031992623960109538,Thu Mar 12 07:16:08 +0000 2026
2,Bot Farm Rhetoricist,BotRhetoricist,"When I was 6 my dad sat me in front of his scroll saw with a jigsaw puzzle he drew and told me don't get hurt.  When I did that for about 2 years on and off (my dad is a hobbyist woodworker), I moved ",https://twitter.com/BotRhetoricist/status/2031676159620985269,Wed Mar 11 10:18:37 +0000 2026
2,Brijesh Agarwal,brijesh2609,"I made a slack bot and connected it with my Openclaw agent, and made the slack bot accessible at the org level. Agent was designed for a specific task and had a  defined soul and identity.  10 mins of",https://twitter.com/brijesh2609/status/2031820884189872392,Wed Mar 11 19:53:42 +0000 2026
2,H. A. Ruposh,ruposhamin,"Looking for a fast, secure, and fully custom crypto automation bot? Get high-performance bots with a strong focus on Solana, designed for low-latency execution and real-world trading conditions. Order",https://twitter.com/ruposhamin/status/2031793980497936627,Wed Mar 11 18:06:48 +0000 2026
2,Wayne Nice Meet YOU .,kratzy76au,The Division 2 remains a masterpiece. 🏛️ Finalising my loadout by seeking the rarest loot of all recently: The Phoenix Shield & Lincoln Edition Bundles. ​If you know where an Agent can find these in m,https://twitter.com/kratzy76au/status/2031839657860993129,Wed Mar 11 21:08:18 +0000 2026
2,agent,agentbye,Mint update for @Banithemadbunny   20 minutes. 🐰,https://twitter.com/agentbye/status/2031726121029398545,Wed Mar 11 13:37:09 +0000 2026
2,GilbertChamber,GilbertChamber,Shoutout to Kozel Mortgage Team Powered by GoRascal on the celebration of 1 year in business! The Gilbert Chamber was proud to share this milestone with a ribbon cutting ceremony. Presented by Colair ,https://twitter.com/GilbertChamber/status/2031814986629001707,Wed Mar 11 19:30:16 +0000 2026
2,"ǝɹoƆsnoǝɓɐɹnoƆ ( 🍊,💊)",bekasider,🚦Crypto sitting idle? Big miss  @beacon_defi flips the script   ▫️ Yield Agent hunts max APY (10%+ on stables via Aave/Morpho) ▫️Auto-compounds daily + extra BEACON tokens  ▫️Self-custodial card = spe,https://twitter.com/bekasider/status/2031827529552560582,Wed Mar 11 20:20:07 +0000 2026
2,T3ddy Coin,t3ddycoin,"Let me be transparent. No tricks. 🐾 $T3DDY tokenomics:   🔢 1,000,000,069 fixed supply  💧 40% liquidity — locked forever  🎁 30% community & airdrop  🔥 Auto-burn on every single play  🚫 Mint revoked — n",https://twitter.com/t3ddycoin/status/2031867387965005987,Wed Mar 11 22:58:30 +0000 2026
2,Joseph,joseph2939,"Fere AI handling market research + sentiment analysis + auto trades?   Future of DeFi is here, let's farm those rewards together!  #AIagents #Web3",https://twitter.com/joseph2939/status/2031992973651820955,Thu Mar 12 07:17:32 +0000 2026
2,“Aha Instant” Vyx,evnaescia,genshin players talk about hsr’s skip button and auto-farm/combat options like the game holds you at gun point and forces you to use them,https://twitter.com/evnaescia/status/2031925977081921745,Thu Mar 12 02:51:18 +0000 2026
2,DGN KING,DGNFORTHEPEOPLE,XNM is inferior to rXNT.  I said it.  XNM is POW. It mines a token. It sits there. It does nothing unless you manage it. No auto-compounding. No liquidity. No LendX collateral. No DeFi integration. No,https://twitter.com/DGNFORTHEPEOPLE/status/2031998913972936933,Thu Mar 12 07:41:08 +0000 2026
2,Ministry Of Youth Development And Empowerment,mydeghana,"Join the launch of the Auto Connect Programme, a hands-on training initiative designed to equip Ghanaian youth with practical skills in automobile. #YouthPower https://t.co/D8uGC7VOXM",https://twitter.com/mydeghana/status/2031797742318563714,Wed Mar 11 18:21:45 +0000 2026
