No,English_Term,Chinese_Term,Category,Definition,Related_Courses,Aliases
45,CUDA Stream,CUDA 流,programming,"Sequence of GPU operations that execute in order enabling pipelining","GPU Computing","stream"
46,CUDA Event,CUDA 事件,programming,"Synchronization marker in a CUDA stream for timing and ordering","GPU Computing","event"
47,Tiling,分块,optimization,"Technique of dividing data into smaller tiles to exploit fast on-chip memory","GPU Computing;Parallel Computing","blocking"
48,Loop Unrolling,循环展开,optimization,"Optimization that replicates loop body to reduce branch overhead and increase ILP","GPU Computing","#pragma unroll"
49,ILP (Instruction-Level Parallelism),指令级并行,optimization,"Executing multiple independent instructions simultaneously","GPU Computing;Computer Architecture","ILP"
50,Reduction,并行归约,optimization,"Parallel algorithm that combines N elements into one using an associative operator","GPU Computing;Parallel Computing","parallel reduction"
51,Array of Structs (AoS),结构体数组,optimization,"Memory layout where each element contains all fields contiguously","GPU Computing","AoS"
52,Struct of Arrays (SoA),数组结构体,optimization,"Memory layout where each field is stored as a separate contiguous array","GPU Computing","SoA"
53,Double Buffering,双缓冲,optimization,"Using two buffers alternately to overlap loading and computation","GPU Computing","ping-pong buffering"
54,Roofline Model,屋顶线模型,analysis,"Visual performance model relating arithmetic intensity to achievable FLOPS","GPU Computing;Parallel Computing","roofline"
55,Arithmetic Intensity,算术强度,analysis,"Ratio of FLOP operations to bytes transferred from memory","GPU Computing","operational intensity"
56,Memory-Bound,内存受限,analysis,"Performance limited by memory bandwidth rather than compute capability","GPU Computing","memory bottleneck"
57,Compute-Bound,计算受限,analysis,"Performance limited by compute capability rather than memory bandwidth","GPU Computing","compute bottleneck"
58,Nsight Compute,Nsight 计算,analysis,"NVIDIA profiling tool for detailed kernel performance analysis","GPU Computing","ncu"
59,SAXPY,SAXPY 运算,algorithm,"Single-precision A*X+Y vector operation - canonical GPU benchmark","GPU Computing","axpy"
60,Matrix Multiply,矩阵乘法,algorithm,"Fundamental linear algebra operation C = A * B","GPU Computing;Machine Learning","GEMM;matmul"
61,N-Body Simulation,N 体模拟,algorithm,"Computing pairwise gravitational interactions among N particles","GPU Computing","n-body"
62,Stencil Computation,模板计算,algorithm,"Updating each grid point based on a fixed pattern of neighbors","GPU Computing;Parallel Computing","stencil"
63,PCIe (PCI Express),PCI Express,interconnect,"Standard bus interface connecting CPU and GPU with limited bandwidth","GPU Computing","PCIe"
64,NVLink,NVLink,interconnect,"High-bandwidth proprietary interconnect between NVIDIA GPUs","GPU Computing","NVLink"
65,OpenACC,OpenACC,programming_model,"Directive-based programming model for GPU acceleration","GPU Computing","ACC"
66,3C Model,3C 模型,cache,"Classification of cache misses: Compulsory Cold-start and Capacity and Conflict","GPU Computing;Computer Architecture","three Cs"
67,Spatial Locality,空间局部性,cache,"Tendency to access data locations near recently accessed locations","GPU Computing;Computer Architecture","spatial"
68,Temporal Locality,时间局部性,cache,"Tendency to access the same data location again soon","GPU Computing;Computer Architecture","temporal"
69,FPGA (Field-Programmable Gate Array),现场可编程门阵列,architecture,"Reconfigurable hardware chip that can be programmed after manufacturing","FPGA","FPGA"
70,LUT (Look-Up Table),查找表,architecture,"Basic logic element in FPGA implementing boolean functions","FPGA","LUT"
71,CLB (Configurable Logic Block),可配置逻辑块,architecture,"Array of LUTs and flip-flops forming the core FPGA fabric","FPGA","CLB;logic block"
72,BRAM (Block RAM),块RAM,memory,"Dedicated memory blocks embedded in FPGA fabric","FPGA","block RAM"
73,DSP Slice,DSP 切片,architecture,"Dedicated multiply-accumulate hardware in FPGA for signal processing","FPGA","DSP block"
74,RTL (Register Transfer Level),寄存器传输级,programming,"Hardware description abstraction level used in Verilog/VHDL","FPGA","RTL"
75,HLS (High-Level Synthesis),高层次综合,programming,"Compiling C/C++ code into hardware description for FPGA","FPGA","HLS"
76,Pipelining,流水线,optimization,"Breaking computation into stages that execute concurrently","FPGA;Computer Architecture;GPU Computing","pipeline"
77,Throughput,吞吐量,analysis,"Amount of work completed per unit time","GPU Computing;FPGA;Parallel Computing","throughput"
78,Latency,延迟,analysis,"Time from start to completion of a single operation","GPU Computing;FPGA;Computer Architecture","latency"
79,Speedup,加速比,analysis,"Ratio of sequential to parallel execution time","GPU Computing;Parallel Computing","speedup"
80,Neural Network,神经网络,ml,"Computational model inspired by biological neural networks","Machine Learning;Special HW for LLMs","NN"
81,Backpropagation,反向传播,ml,"Algorithm for computing gradients in neural networks via chain rule","Machine Learning","backprop"
82,Gradient Descent,梯度下降,ml,"Optimization algorithm that updates parameters in direction of negative gradient","Machine Learning","GD;SGD"
83,Convolution,卷积,ml,"Sliding-window operation applying a filter kernel to input data","Machine Learning","conv"
84,Transformer,变换器,ml,"Attention-based neural architecture for sequence modeling","Machine Learning;Special HW for LLMs","transformer"
85,Attention Mechanism,注意力机制,ml,"Mechanism that dynamically weights input elements based on relevance","Machine Learning;Special HW for LLMs","attention;self-attention"
86,Quantization,量化,optimization,"Reducing numerical precision of weights/activations to lower bit widths","Machine Learning;Special HW for LLMs","INT8;INT4"
87,Batch Normalization,批归一化,ml,"Normalizing layer inputs to stabilize and accelerate training","Machine Learning","BatchNorm;BN"
88,Dropout,随机失活,ml,"Regularization technique randomly zeroing activations during training","Machine Learning","dropout"
89,Learning Rate,学习率,ml,"Step size for parameter updates in gradient descent","Machine Learning","lr"
90,Loss Function,损失函数,ml,"Function measuring prediction error that the model minimizes","Machine Learning","cost function;objective"
91,Overfitting,过拟合,ml,"Model memorizes training data and fails to generalize","Machine Learning","overfitting"
92,Cross-Entropy,交叉熵,ml,"Loss function for classification measuring divergence between distributions","Machine Learning","CE loss"
93,Epoch,训练轮次,ml,"One complete pass through the entire training dataset","Machine Learning","epoch"
94,Mini-Batch,小批量,ml,"Subset of training data used for one gradient update","Machine Learning","batch"
95,LLM (Large Language Model),大语言模型,ml,"Neural network with billions of parameters trained on text corpora","Special HW for LLMs;Machine Learning","LLM"
96,KV Cache,键值缓存,ml,"Cached key-value pairs in transformer inference to avoid recomputation","Special HW for LLMs","KV cache"
97,Inference,推理,ml,"Running a trained model on new data to produce predictions","Machine Learning;Special HW for LLMs","inference"
98,Parallel Computing,并行计算,execution,"Simultaneous execution of computations to solve problems faster","GPU Computing;Parallel Computing","parallelism"
99,Data Parallelism,数据并行,execution,"Distributing data across processors each applying same operation","GPU Computing;Parallel Computing;Machine Learning","data parallel"
100,Model Parallelism,模型并行,execution,"Distributing model layers/parts across different processors","Machine Learning;Special HW for LLMs","model parallel"
101,Flynn's Taxonomy,弗林分类法,theory,"Classification of computer architectures: SISD SIMD MISD MIMD","Parallel Computing;Computer Architecture","Flynn"
102,Deadlock,死锁,execution,"Situation where two or more processes wait indefinitely for each other","Parallel Computing","deadlock"
103,Race Condition,竞争条件,execution,"Bug where program behavior depends on timing of concurrent operations","Parallel Computing;GPU Computing","data race"
104,Mutex,互斥锁,execution,"Synchronization primitive ensuring exclusive access to shared resource","Parallel Computing","mutual exclusion"
105,Semaphore,信号量,execution,"Synchronization primitive controlling access to a resource with a counter","Parallel Computing","semaphore"
106,Critical Section,临界区,execution,"Code section that accesses shared resources requiring mutual exclusion","Parallel Computing","critical region"
107,Load Balancing,负载均衡,optimization,"Distributing work evenly across processors to minimize idle time","Parallel Computing;GPU Computing","load balance"
108,Scalability,可扩展性,analysis,"Ability of a system to maintain efficiency as problem size or processors grow","Parallel Computing;GPU Computing","scalability"
109,Bandwidth,带宽,analysis,"Maximum rate of data transfer across a communication channel","GPU Computing;FPGA;Computer Architecture","BW"
110,FLOPS,浮点运算每秒,analysis,"Floating-point operations per second - measure of compute performance","GPU Computing;Machine Learning","GFLOPS;TFLOPS"
