bundle_id,slug,title,keep,restricted_keep,primary_stage,dependencies,downloads,stars,installs_current,checked_at,reason,review_note
,interview-analysis,Interview Analysis,no,no,knowledge_structuring,模板工作流,2045,1,10,2026-04-13,默认语境偏招聘面试，当前不再保留在正式清单中。,已实装检查；带 README 和多份模板；但核心场景是招聘访谈分析，不够贴合智库调研材料整理。
,interview-designer,Interview Designer,no,no,information_acquisition,模板工作流,1847,3,10,2026-04-13,默认语境偏招聘面试，当前不再保留在正式清单中。,已实装检查；带 README、模板和参考资料；但核心场景是招聘面试设计，不够贴合智库调研访谈。
,betasurvey,Beta Survey Analysis,no,no,knowledge_structuring,本地 Python，需模型 API,48,0,0,2026-04-10,依赖模型 API 且平台验证度偏低，当前先不保留在正式清单中。,已实装检查；带 analyze.py 和示例数据；结构真实；但热度很低，还依赖外部模型能力。
,limesurvey-openclaw-skill,LimeSurvey Openclaw Skill,no,no,information_acquisition,需要环境变量和平台账号,305,0,1,2026-04-10,平台绑定很强，当前先不保留在正式清单中。,已实装检查；这里的平台是自建或机构已有的 LimeSurvey 系统；依赖 RemoteControl API 地址、服务账号和环境变量。
,wenjuan-survey,Questionnaire Assistant,no,no,information_acquisition,需要平台登录/授权,30,0,0,2026-04-10,平台绑定很强且验证度偏低，当前先不保留在正式清单中。,已实装检查；这里的平台是问卷网；包体完整，但依赖问卷网账号登录、授权和特定平台流程。
,market-analysis-cn,Market Analysis CN,no,no,analysis_modeling,付费服务,8330,18,109,2026-04-09,服务化属性明显，当前不再保留在正式清单中。,已实装检查；SKILL.md 和 metadata 都写了定价信息，属于商业分析服务。
,pdf-ocr,Pdf Ocr,no,no,document_processing,需要 API Key，且有额度限制,4201,1,55,2026-04-09,依赖外部 OCR 且存在安全与额度问题，当前不再保留在正式清单中。,已实装检查；专项能力真实；依赖百度 OCR；SKILL.md 中直接写出 key、secret 和免费额度。
,trend-watcher,Trend Watcher,no,no,analysis_modeling,GitHub Trending,5369,7,46,2026-04-08,当前实现偏开发者生态趋势监测，不再保留在正式清单中。,已实装检查；实际是 GitHub Trending 和开发者生态监测，不太贴合智库研究场景。
,data-analyst-pro,Data Analyst,no,no,analysis_modeling,无,5153,5,48,2026-04-08,内容偏薄，当前不再保留在正式清单中。,已实装检查；内容很薄；更像简短代理提示，不像成熟工具技能。
,cnki-scholar,CNKI Scholar,no,no,information_acquisition,名称易误导,167,0,0,2026-04-08,名称容易让人误判，不建议继续纳入。,已实装检查；更像 OpenAlex 和 Crossref 检索说明，不是真正的 CNKI 接入。
,drawio-exporter-skill,Draw.io Diagram Generator And Exporter,no,no,visualization,本地桌面 CLI,0,0,0,2026-04-09,本地 draw.io CLI 路线可用，但当前优先保留一个 draw.io 代表项即可。,已实装检查；也是本地 draw.io CLI 路线；当前未纳入以避免重复。
,drawio-generator,drawio-generator,no,no,visualization,浏览器链接/网页,714,1,6,2026-04-09,被更本地化的 draw.io 方案替代。,已实装检查；更像浏览器打开 draw.io 链接的轻量入口，不如本地 draw.io 方案。
,drawio-pro-skill,Drawio Skill,no,no,visualization,本地桌面 CLI,83,1,0,2026-04-13,已被更完整的 drawio 条目替代。,已实装检查；同样依赖本地 draw.io CLI；但完整度和平台验证度都弱于 drawio。
,mermaid-architect,Mermaid Architect,no,no,visualization,文档不完整,1718,0,11,2026-04-09,被内容更完整、数据更稳的 Mermaid 条目替代。,已实装检查；内容和引用不够完整；平台数据也弱于 mermaid-diagrams。
,patent-scanner,Patent Scanner,no,no,information_acquisition,名称易误导,2528,14,9,2026-04-08,名称与实际能力不符，不建议继续纳入。,已实装检查；实际是可专利性分析模板，不是专利检索或扫描工具。
,pdf-helper,PDF 助手,no,no,document_processing,付费服务,865,0,3,2026-04-09,明显外部服务型，不建议纳入。,已实装检查；带调用计费信息。
,pdf-processing,pdf-processing,no,no,document_processing,偏占位/半成品,2292,0,16,2026-04-09,内容偏占位，完成度不足。,已实装检查；包里几乎没有真实脚本。
,pdf-smart-tool-cn,Pdf Smart Tool Cn,no,no,document_processing,次数限制服务,0,0,0,2026-04-09,存在明显免费次数限制，不适合作为高质量基础能力。,已检查使用限制；免费次数限制明显。
,pdf-to-markdown,PDF to Markdown,no,no,document_processing,本地 CLI,699,0,6,2026-04-09,质量不错但能力范围偏窄，当前未纳入主清单。,已实装检查；偏本地且结构完整；更适合 PDF 提取和转 Markdown。
,pdf-toolkit-pro,PDF Toolkit Pro,no,no,document_processing,付费服务,2242,0,23,2026-04-09,存在明确价格分层，不适合作为默认核心能力。,已实装检查；结构完整；但有清晰收费档位。
